contributing_factor,count
1,16
80,126
Accelerator Defective,1084
Aggressive Driving/Road Rage,10263
Alcohol Involvement,21900
Animals Action,1540
Backing Unsafely,80577
Brakes Defective,6873
Cell Phone (hand-Held),534
Cell Phone (hand-held),101
Cell Phone (hands-free),314
Driver Inattention/Distraction,473401
Driver Inexperience,36212
Driverless/Runaway Vehicle,1225
Drugs (Illegal),543
Drugs (illegal),819
Eating or Drinking,123
Failure to Keep Right,3857
Failure to Yield Right-of-Way,130574
Fatigued/Drowsy,59166
Fell Asleep,5654
Following Too Closely,122395
Glare,4398
Headlights Defective,183
Illnes,1492
Illness,2604
Lane Marking Improper/Inadequate,1482
Listening/Using Headphones,34
Lost Consciousness,25485
Obstruction/Debris,4766
Other Electronic Device,3002
Other Lighting Defects,230
Other Vehicular,94194
Outside Car Distraction,15205
Oversized Vehicle,14259
Passenger Distraction,9188
Passing Too Closely,55511
Passing or Lane Usage Improper,64100
Pavement Defective,2543
Pavement Slippery,23285
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,10424
Physical Disability,11539
Prescription Medication,18436
Reaction to Other Uninvolved Vehicle,1716
Reaction to Uninvolved Vehicle,21998
Shoulders Defective/Improper,99
Steering Failure,2717
Texting,49
Tinted Windows,179
Tire Failure/Inadequate,2442
Tow Hitch Defective,229
Traffic Control Device Improper/Non-Working,1296
Traffic Control Disregarded,39939
Turning Improperly,56718
Unsafe Lane Changing,44620
Unsafe Speed,28722
Using On Board Navigation Device,154
Vehicle Vandalism,131
View Obstructed/Limited,15557
Windshield Inadequate,82
