date,wth_stn,count
2012-07-01,CP,348
2012-07-01,FT,56
2012-07-01,LG,134
2012-07-02,CP,354
2012-07-02,FT,46
2012-07-02,LG,164
2012-07-03,CP,418
2012-07-03,FT,56
2012-07-03,LG,190
2012-07-04,CP,234
2012-07-04,FT,65
2012-07-04,LG,133
2012-07-05,CP,360
2012-07-05,FT,71
2012-07-05,LG,160
2012-07-06,CP,399
2012-07-06,FT,73
2012-07-06,LG,166
2012-07-07,CP,300
2012-07-07,FT,65
2012-07-07,LG,125
2012-07-08,CP,271
2012-07-08,FT,58
2012-07-08,LG,135
2012-07-09,CP,326
2012-07-09,FT,58
2012-07-09,LG,149
2012-07-10,CP,349
2012-07-10,FT,47
2012-07-10,LG,128
2012-07-11,CP,357
2012-07-11,FT,58
2012-07-11,LG,150
2012-07-12,CP,387
2012-07-12,FT,55
2012-07-12,LG,135
2012-07-13,CP,381
2012-07-13,FT,65
2012-07-13,LG,157
2012-07-14,CP,338
2012-07-14,FT,53
2012-07-14,LG,145
2012-07-15,CP,315
2012-07-15,FT,45
2012-07-15,LG,134
2012-07-16,CP,335
2012-07-16,FT,57
2012-07-16,LG,136
2012-07-17,CP,400
2012-07-17,FT,79
2012-07-17,LG,169
2012-07-18,CP,350
2012-07-18,FT,54
2012-07-18,LG,155
2012-07-19,CP,340
2012-07-19,FT,63
2012-07-19,LG,119
2012-07-20,CP,375
2012-07-20,FT,66
2012-07-20,LG,163
2012-07-21,CP,308
2012-07-21,FT,70
2012-07-21,LG,150
2012-07-22,CP,295
2012-07-22,FT,61
2012-07-22,LG,142
2012-07-23,CP,320
2012-07-23,FT,51
2012-07-23,LG,134
2012-07-24,CP,376
2012-07-24,FT,43
2012-07-24,LG,155
2012-07-25,CP,383
2012-07-25,FT,59
2012-07-25,LG,170
2012-07-26,CP,385
2012-07-26,FT,58
2012-07-26,LG,161
2012-07-27,CP,405
2012-07-27,FT,67
2012-07-27,LG,166
2012-07-28,CP,301
2012-07-28,FT,63
2012-07-28,LG,149
2012-07-29,CP,224
2012-07-29,FT,45
2012-07-29,LG,107
2012-07-30,CP,335
2012-07-30,FT,59
2012-07-30,LG,136
2012-07-31,CP,357
2012-07-31,FT,54
2012-07-31,LG,129
2012-08-01,CP,391
2012-08-01,FT,53
2012-08-01,LG,172
2012-08-02,CP,376
2012-08-02,FT,55
2012-08-02,LG,139
2012-08-03,CP,364
2012-08-03,FT,70
2012-08-03,LG,155
2012-08-04,CP,345
2012-08-04,FT,62
2012-08-04,LG,161
2012-08-05,CP,311
2012-08-05,FT,71
2012-08-05,LG,136
2012-08-06,CP,376
2012-08-06,FT,54
2012-08-06,LG,163
2012-08-07,CP,350
2012-08-07,FT,57
2012-08-07,LG,140
2012-08-08,CP,341
2012-08-08,FT,52
2012-08-08,LG,135
2012-08-09,CP,379
2012-08-09,FT,51
2012-08-09,LG,151
2012-08-10,CP,374
2012-08-10,FT,71
2012-08-10,LG,172
2012-08-11,CP,315
2012-08-11,FT,55
2012-08-11,LG,137
2012-08-12,CP,293
2012-08-12,FT,62
2012-08-12,LG,150
2012-08-13,CP,318
2012-08-13,FT,39
2012-08-13,LG,147
2012-08-14,CP,348
2012-08-14,FT,49
2012-08-14,LG,123
2012-08-15,CP,383
2012-08-15,FT,61
2012-08-15,LG,158
2012-08-16,CP,393
2012-08-16,FT,61
2012-08-16,LG,159
2012-08-17,CP,365
2012-08-17,FT,60
2012-08-17,LG,149
2012-08-18,CP,346
2012-08-18,FT,55
2012-08-18,LG,139
2012-08-19,CP,272
2012-08-19,FT,60
2012-08-19,LG,135
2012-08-20,CP,298
2012-08-20,FT,57
2012-08-20,LG,118
2012-08-21,CP,310
2012-08-21,FT,50
2012-08-21,LG,122
2012-08-22,CP,304
2012-08-22,FT,50
2012-08-22,LG,150
2012-08-23,CP,389
2012-08-23,FT,64
2012-08-23,LG,121
2012-08-24,CP,389
2012-08-24,FT,53
2012-08-24,LG,159
2012-08-25,CP,269
2012-08-25,FT,65
2012-08-25,LG,140
2012-08-26,CP,300
2012-08-26,FT,53
2012-08-26,LG,118
2012-08-27,CP,331
2012-08-27,FT,66
2012-08-27,LG,151
2012-08-28,CP,375
2012-08-28,FT,59
2012-08-28,LG,153
2012-08-29,CP,333
2012-08-29,FT,71
2012-08-29,LG,146
2012-08-30,CP,415
2012-08-30,FT,59
2012-08-30,LG,144
2012-08-31,CP,442
2012-08-31,FT,69
2012-08-31,LG,190
2012-09-01,CP,292
2012-09-01,FT,65
2012-09-01,LG,158
2012-09-02,CP,256
2012-09-02,FT,60
2012-09-02,LG,105
2012-09-03,CP,220
2012-09-03,FT,49
2012-09-03,LG,104
2012-09-04,CP,365
2012-09-04,FT,70
2012-09-04,LG,171
2012-09-05,CP,387
2012-09-05,FT,63
2012-09-05,LG,151
2012-09-06,CP,364
2012-09-06,FT,59
2012-09-06,LG,149
2012-09-07,CP,432
2012-09-07,FT,75
2012-09-07,LG,173
2012-09-08,CP,363
2012-09-08,FT,66
2012-09-08,LG,169
2012-09-09,CP,298
2012-09-09,FT,45
2012-09-09,LG,121
2012-09-10,CP,415
2012-09-10,FT,71
2012-09-10,LG,151
2012-09-11,CP,325
2012-09-11,FT,57
2012-09-11,LG,139
2012-09-12,CP,412
2012-09-12,FT,76
2012-09-12,LG,163
2012-09-13,CP,397
2012-09-13,FT,71
2012-09-13,LG,164
2012-09-14,CP,355
2012-09-14,FT,74
2012-09-14,LG,180
2012-09-15,CP,339
2012-09-15,FT,61
2012-09-15,LG,157
2012-09-16,CP,278
2012-09-16,FT,49
2012-09-16,LG,131
2012-09-17,CP,286
2012-09-17,FT,52
2012-09-17,LG,114
2012-09-18,CP,356
2012-09-18,FT,49
2012-09-18,LG,151
2012-09-19,CP,378
2012-09-19,FT,64
2012-09-19,LG,170
2012-09-20,CP,335
2012-09-20,FT,58
2012-09-20,LG,129
2012-09-21,CP,426
2012-09-21,FT,71
2012-09-21,LG,157
2012-09-22,CP,347
2012-09-22,FT,55
2012-09-22,LG,145
2012-09-23,CP,296
2012-09-23,FT,49
2012-09-23,LG,135
2012-09-24,CP,343
2012-09-24,FT,60
2012-09-24,LG,159
2012-09-25,CP,388
2012-09-25,FT,56
2012-09-25,LG,150
2012-09-26,CP,253
2012-09-26,FT,43
2012-09-26,LG,108
2012-09-27,CP,397
2012-09-27,FT,73
2012-09-27,LG,150
2012-09-28,CP,455
2012-09-28,FT,63
2012-09-28,LG,185
2012-09-29,CP,274
2012-09-29,FT,45
2012-09-29,LG,166
2012-09-30,CP,292
2012-09-30,FT,46
2012-09-30,LG,111
2012-10-01,CP,351
