date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd
2021-04-15,,,4407533,,,
2021-04-20,,,4408786,,,
2021-04-23,,,4410229,,,
2021-04-21,,,4409525,,,
2021-12-18,,,4488151,,,
2022-02-19,,,4503912,,,
2021-04-29,,,4411997,,,
2021-05-01,,,4412335,,,
2021-05-07,,,4414950,,,
2021-05-18,,,4419882,,,
2021-05-25,,,4420385,,,
2021-12-28,,,4490265,,,
2022-02-06,,,4504720,,,
2021-10-07,,,4464974,,,
2021-10-08,,,4465700,,,
2021-06-17,,,4428540,,,
2022-01-04,,,4491904,,,
2022-03-30,,,4517045,,,
2021-06-25,,,4431589,,,
2021-06-23,,,4430091,,,
2022-01-09,,,4493350,,,
2022-01-12,,,4494076,,,
2021-07-02,,,4434035,,,
2021-10-23,,,4472613,,,
2021-07-25,,,4440317,,,
2021-07-23,,,4441427,,,
2021-07-20,,,4441791,,,
2022-04-11,,,4517907,,,
2021-08-05,,,4445269,,,
2021-11-01,,,4474228,,,
2021-08-17,,,4448481,,,
2021-08-18,,,4450205,,,
2021-09-01,,,4452673,,,
2021-09-01,,,4453516,,,
2021-11-09,,,4475761,,,
2021-11-13,,,4477085,,,
2022-04-16,,,4520342,,,
2021-11-15,,,4477734,,,
2022-07-11,,,4545590,,,
2021-12-06,,,4484925,,,
2022-02-23,,,4505399,,,
2022-03-11,,,4509346,,,
2022-07-20,,,4548480,,,
2016-11-02,,,3552626,,,
2016-09-25,,,3527140,,,
2016-09-16,,,3521793,,,
2016-08-28,,,3510473,,,
2016-08-17,,,3502264,,,
2016-06-24,,,3468321,,,
2016-07-23,,,3487794,,,
2016-08-06,,,3496406,,,
2016-08-09,,,3497508,,,
2016-07-24,,,3487581,,,
2016-07-06,,,3476657,,,
2016-06-29,,,3471868,,,
2016-07-19,,,3485026,,,
2016-07-21,,,3486725,,,
2016-07-12,,,3478692,,,
2016-07-04,,,3474535,,,
2016-07-10,,,3477505,,,
2016-07-22,,,3485380,,,
2016-07-21,,,3490822,,,
2016-07-05,,,3488189,,,
2016-07-12,,,3478871,,,
2016-07-20,,,3485703,,,
2016-06-18,,,3463389,,,
2016-06-14,,,3461434,,,
2016-06-18,,,3463679,,,
2016-06-16,,,3462396,,,
2016-06-24,,,3469771,,,
2016-06-21,,,3466290,,,
2016-06-13,,,3461126,,,
2016-05-13,,,3448529,,,
2016-05-14,,,3441806,,,
2016-05-13,,,3441661,,,
2016-05-31,,,3448132,,,
2016-05-20,,,3451273,,,
2016-05-22,,,3445467,,,
2016-04-23,,,3415102,,,
2016-05-04,,,3435743,,,
2016-05-02,,,3433848,,,
2016-04-27,,,3434301,,,
2016-04-25,,,3433741,,,
2016-04-21,,,3424810,,,
2016-04-28,,,3432410,,,
2016-04-27,,,3434239,,,
2016-04-22,,,3418217,,,
2022-07-23,,,4548566,,,
2022-05-16,,,4528607,,,
2022-05-18,,,4528904,,,
2022-05-15,,,4531272,,,
2022-05-31,,,4535014,,,
2022-08-09,,,4553716,,,
2022-06-20,,,4539235,,,
2022-06-22,,,4541411,,,
2022-06-15,,,4541696,,,
2022-08-25,,,4558657,,,
2021-03-31,,,4404007,,,
2021-04-01,,,4403716,,,
2021-03-23,,,4401285,,,
2021-01-14,,,4383997,,,
2021-02-05,,,4390024,,,
2020-12-23,,,4378635,,,
2020-12-28,,,4379834,,,
2021-02-04,,,4389349,,,
2021-02-08,,,4390377,,,
2020-10-26,,,4361329,,,
2020-10-15,,,4357909,,,
2020-10-18,,,4358731,,,
2020-11-18,,,4368669,,,
2020-11-13,,,4367379,,,
2020-11-26,,,4370998,,,
2020-12-07,,,4374694,,,
2020-08-21,,,4340773,,,
2020-09-24,,,4352437,,,
2020-09-24,,,4353027,,,
2020-10-03,,,4354584,,,
2020-08-23,,,4341353,,,
2020-07-21,,,4332832,,,
2020-07-26,,,4347772,,,
2020-07-15,,,4330728,,,
2020-07-21,,,4330648,,,
2020-04-26,,,4310458,,,
2020-06-26,,,4326176,,,
2016-04-19,,,3431655,,,
2016-04-16,,,3413925,,,
2016-05-02,,,3434027,,,
2016-05-09,,,3441641,,,
2016-04-21,,,3414442,,,
2016-04-21,,,3406421,,,
2016-03-31,,,3426319,,,
