date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd,minDistance,wth_stn
2021-04-15,,,4407533,,,,0,CP
2021-04-20,,,4408786,,,,0,CP
2021-04-23,,,4410229,,,,0,CP
2021-04-21,,,4409525,,,,0,CP
2021-12-18,,,4488151,,,,0,CP
2022-02-19,,,4503912,,,,0,CP
2021-04-29,,,4411997,,,,0,CP
2021-05-01,,,4412335,,,,0,CP
2021-05-07,,,4414950,,,,0,CP
2021-05-18,,,4419882,,,,0,CP
2021-05-25,,,4420385,,,,0,CP
2021-12-28,,,4490265,,,,0,CP
2022-02-06,,,4504720,,,,0,CP
2021-10-07,,,4464974,,,,0,CP
2021-10-08,,,4465700,,,,0,CP
2021-06-17,,,4428540,,,,0,CP
2022-01-04,,,4491904,,,,0,CP
2022-03-30,,,4517045,,,,0,CP
2021-06-25,,,4431589,,,,0,CP
2021-06-23,,,4430091,,,,0,CP
2022-01-09,,,4493350,,,,0,CP
2022-01-12,,,4494076,,,,0,CP
2021-07-02,,,4434035,,,,0,CP
2021-10-23,,,4472613,,,,0,CP
2021-07-25,,,4440317,,,,0,CP
2021-07-23,,,4441427,,,,0,CP
2021-07-20,,,4441791,,,,0,CP
2022-04-11,,,4517907,,,,0,CP
2021-08-05,,,4445269,,,,0,CP
2021-11-01,,,4474228,,,,0,CP
2021-08-17,,,4448481,,,,0,CP
2021-08-18,,,4450205,,,,0,CP
2021-09-01,,,4452673,,,,0,CP
2021-09-01,,,4453516,,,,0,CP
2021-11-09,,,4475761,,,,0,CP
2021-11-13,,,4477085,,,,0,CP
2022-04-16,,,4520342,,,,0,CP
2021-11-15,,,4477734,,,,0,CP
2022-07-11,,,4545590,,,,0,CP
2021-12-06,,,4484925,,,,0,CP
2022-02-23,,,4505399,,,,0,CP
2022-03-11,,,4509346,,,,0,CP
2022-07-20,,,4548480,,,,0,CP
2016-11-02,,,3552626,,,,0,CP
2016-09-25,,,3527140,,,,0,CP
2016-09-16,,,3521793,,,,0,CP
2016-08-28,,,3510473,,,,0,CP
2016-08-17,,,3502264,,,,0,CP
2016-06-24,,,3468321,,,,0,CP
2016-07-23,,,3487794,,,,0,CP
2016-08-06,,,3496406,,,,0,CP
2016-08-09,,,3497508,,,,0,CP
2016-07-24,,,3487581,,,,0,CP
2016-07-06,,,3476657,,,,0,CP
2016-06-29,,,3471868,,,,0,CP
2016-07-19,,,3485026,,,,0,CP
2016-07-21,,,3486725,,,,0,CP
2016-07-12,,,3478692,,,,0,CP
2016-07-04,,,3474535,,,,0,CP
2016-07-10,,,3477505,,,,0,CP
2016-07-22,,,3485380,,,,0,CP
2016-07-21,,,3490822,,,,0,CP
2016-07-05,,,3488189,,,,0,CP
2016-07-12,,,3478871,,,,0,CP
2016-07-20,,,3485703,,,,0,CP
2016-06-18,,,3463389,,,,0,CP
2016-06-14,,,3461434,,,,0,CP
2016-06-18,,,3463679,,,,0,CP
2016-06-16,,,3462396,,,,0,CP
2016-06-24,,,3469771,,,,0,CP
2016-06-21,,,3466290,,,,0,CP
2016-06-13,,,3461126,,,,0,CP
2016-05-13,,,3448529,,,,0,CP
2016-05-14,,,3441806,,,,0,CP
2016-05-13,,,3441661,,,,0,CP
2016-05-31,,,3448132,,,,0,CP
2016-05-20,,,3451273,,,,0,CP
2016-05-22,,,3445467,,,,0,CP
2016-04-23,,,3415102,,,,0,CP
2016-05-04,,,3435743,,,,0,CP
2016-05-02,,,3433848,,,,0,CP
2016-04-27,,,3434301,,,,0,CP
2016-04-25,,,3433741,,,,0,CP
2016-04-21,,,3424810,,,,0,CP
2016-04-28,,,3432410,,,,0,CP
2016-04-27,,,3434239,,,,0,CP
2016-04-22,,,3418217,,,,0,CP
