date,num_collisions
2012-07-01,453
2012-07-02,477
2012-07-03,583
2012-07-04,361
2012-07-05,503
2012-07-06,550
2012-07-07,422
2012-07-08,386
2012-07-09,446
2012-07-10,455
2012-07-11,479
2012-07-12,492
2012-07-13,504
2012-07-14,448
2012-07-15,412
2012-07-16,463
2012-07-17,541
2012-07-18,474
2012-07-19,436
2012-07-20,525
2012-07-21,442
2012-07-22,433
2012-07-23,434
2012-07-24,486
2012-07-25,527
2012-07-26,525
2012-07-27,542
2012-07-28,449
2012-07-29,321
2012-07-30,463
2012-07-31,455
2012-08-01,507
2012-08-02,471
2012-08-03,499
2012-08-04,475
2012-08-05,431
2012-08-06,502
2012-08-07,471
2012-08-08,466
2012-08-09,501
2012-08-10,539
2012-08-11,427
2012-08-12,431
2012-08-13,426
2012-08-14,448
2012-08-15,507
2012-08-16,518
2012-08-17,480
2012-08-18,457
2012-08-19,404
2012-08-20,411
2012-08-21,408
2012-08-22,435
2012-08-23,488
2012-08-24,499
2012-08-25,408
2012-08-26,376
2012-08-27,462
2012-08-28,501
2012-08-29,465
2012-08-30,519
2012-08-31,595
2012-09-01,432
2012-09-02,357
2012-09-03,324
2012-09-04,514
2012-09-05,512
2012-09-06,486
2012-09-07,585
2012-09-08,510
2012-09-09,398
2012-09-10,541
2012-09-11,441
2012-09-12,553
2012-09-13,538
2012-09-14,530
2012-09-15,468
2012-09-16,379
2012-09-17,387
2012-09-18,480
2012-09-19,523
2012-09-20,446
2012-09-21,556
2012-09-22,465
2012-09-23,401
2012-09-24,488
2012-09-25,516
2012-09-26,339
2012-09-27,533
2012-09-28,588
2012-09-29,429
2012-09-30,382
2012-10-01,455
2012-10-02,515
2012-10-03,422
2012-10-04,472
2012-10-05,586
2012-10-06,422
2012-10-07,414
2012-10-08,311
2012-10-09,491
2012-10-10,546
2012-10-11,567
2012-10-12,493
2012-10-13,468
2012-10-14,435
2012-10-15,512
2012-10-16,501
2012-10-17,511
2012-10-18,527
2012-10-19,649
2012-10-20,522
2012-10-21,356
2012-10-22,516
2012-10-23,441
2012-10-24,415
2012-10-25,439
2012-10-26,497
2012-10-27,430
2012-10-28,334
2012-10-29,265
2012-10-30,315
2012-10-31,464
2012-11-01,375
2012-11-02,294
2012-11-03,265
2012-11-04,287
2012-11-05,405
2012-11-06,420
