wban,date,year,mo,da,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder
14732,2012-01-01,2012,01,01,47.4,37.1,1015.6,1014.6,10,8.7,15.9,22.9,53.1,41,0.01,G,999.9,0,0,0,0,0
14732,2012-01-02,2012,01,02,42.9,24.6,1006.7,1005.7,9.9,14.7,22.0,29.9,51.1,37,0.06,G,999.9,0,1,0,0,0
14732,2012-01-03,2012,01,03,29.8,13.3,1011.5,1010.4,10,15.0,21.0,28.9,50,21.9,0,G,999.9,0,0,0,0,0
14732,2012-01-04,2012,01,04,19.1,1.7,1020.6,1019.6,10,12.0,22.0,26,34,14,0,G,999.9,0,0,0,0,0
14732,2012-01-05,2012,01,05,31.7,13.5,1013.5,1012.4,10,10.0,18.1,25.1,41,14,0,G,999.9,0,0,0,0,0
14732,2012-01-06,2012,01,06,41.5,23.7,1011.8,1010.7,10,7.8,14.0,21,53.1,28.2,0,G,999.9,0,0,0,0,0
14732,2012-01-07,2012,01,07,51.6,29.3,1008,1007,10,7.3,15.0,21,62.1,36,0,G,999.9,0,0,0,0,0
14732,2012-01-08,2012,01,08,45.1,25.4,1018.7,1017.7,10,10.3,15.0,20,62.1,39,0,G,999.9,0,0,0,0,0
14732,2012-01-09,2012,01,09,35,16.5,1025.2,1024.2,10,7.1,15.9,20,46,32,0,G,999.9,0,0,0,0,0
14732,2012-01-10,2012,01,10,39.4,23.7,1014.2,1013.2,10,8.0,13.0,21,46.9,32,0,G,999.9,0,0,0,0,0
14732,2012-01-11,2012,01,11,42.2,26.2,1016.9,1015.9,10,5.6,11.1,999.9,46.9,34,0,G,999.9,0,0,0,0,0
14732,2012-01-12,2012,01,12,43.3,38,1004.1,1002.9,7.2,13.5,34.0,42.9,46.9,37.9,0.73,G,999.9,0,1,0,0,0
14732,2012-01-13,2012,01,13,39.1,30.9,998.8,996.8,7.6,13.6,28.9,38.1,50,28.9,0.33,G,999.9,0,1,0,0,0
14732,2012-01-14,2012,01,14,29.7,13.3,1011.8,1010.8,10,14.9,19.0,33,32,28,0.02,G,999.9,0,0,0,0,0
14732,2012-01-15,2012,01,15,23.3,4.2,1024,1023,10,13.8,20.0,27,32,16,0,G,999.9,0,0,0,0,0
