wban,date,year,mo,da,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder
94728,2012-01-01,2012,01,01,46.6,38.2,1015.2,1010.3,10,5.2,13.0,17.1,51.1,35.6,0.01,G,999.9,0,1,0,0,0
94728,2012-01-02,2012,01,02,42.1,25.6,1006.7,1001.8,9.8,8.9,18.1,22.9,51.1,36,0.05,G,999.9,0,1,0,0,0
94728,2012-01-03,2012,01,03,28.5,12.4,1011.7,1006.8,10,8.8,15.0,24.1,39.9,21.9,0,G,999.9,0,0,0,0,0
94728,2012-01-04,2012,01,04,18.4,1.1,1020.4,1015.3,10,7.2,22.0,999.9,27,12.9,0,G,999.9,0,0,0,0,0
94728,2012-01-05,2012,01,05,31.6,15.4,1013.2,1008.1,10,5.8,13.0,18.1,39.9,27,0,G,999.9,0,0,0,0,0
94728,2012-01-06,2012,01,06,41.8,25.4,1011.4,1006.5,9.8,6.0,12.0,14,52,32,0,G,999.9,0,0,0,0,0
94728,2012-01-07,2012,01,07,52.9,31,1008.1,1003.2,10,5.6,11.1,19,62.1,43,0,G,999.9,0,0,0,0,0
94728,2012-01-08,2012,01,08,44.3,25.2,1019.4,1014.5,10,7.1,13.0,17.1,57,37.9,0,G,999.9,0,0,0,0,0
94728,2012-01-09,2012,01,09,35,17.9,1024.8,1019.8,10,3.1,12.0,999.9,41,30.9,0,G,999.9,0,0,0,0,0
94728,2012-01-10,2012,01,10,39.5,25.1,1014,1009.1,9.2,6.3,11.1,15.9,46.9,33.1,0,G,999.9,0,0,0,0,0
94728,2012-01-11,2012,01,11,42.1,27.3,1016.8,1011.8,10,4.4,15.0,15.9,46.9,36,0,G,999.9,0,0,0,0,0
94728,2012-01-12,2012,01,12,43.1,39.8,1004.2,999,5.7,9.0,26.0,35,50,41,0.95,G,999.9,0,1,0,0,0
94728,2012-01-13,2012,01,13,38.8,32,998.9,993,6.9,8.3,35.0,999.9,51.1,28.9,0.59,G,999.9,0,1,0,0,0
94728,2012-01-14,2012,01,14,29.6,15.4,1012.1,1007.1,10,8.3,25.1,26,35.1,28,0.09,G,999.9,0,0,0,0,0
94728,2012-01-15,2012,01,15,22.1,2.3,1025.7,1020.6,10,7.6,19.0,21,32,15.1,0,G,999.9,0,0,0,0,0
94728,2012-01-16,2012,01,16,22.9,6.1,1033.3,1028.2,10,4.3,15.0,17.1,35.1,15.1,0,G,999.9,0,0,0,0,0
94728,2012-01-17,2012,01,17,39.8,34.6,1023.6,1018.5,7.6,6.6,19.0,22.9,48,35.1,0.08,G,999.9,0,1,1,0,0
94728,2012-01-18,2012,01,18,42,25.3,1016.1,1010.8,10,9.8,17.1,29.9,54,28.9,0.15,G,999.9,0,0,0,0,0
94728,2012-01-19,2012,01,19,26.6,11.8,1021.2,1016.2,10,5.3,12.0,14,36,19.9,0,G,999.9,0,0,0,0,0
94728,2012-01-20,2012,01,20,31.2,13,1019.1,1014.1,10,6.7,16.9,18.1,37,24.1,0,G,999.9,0,0,1,0,0
94728,2012-01-21,2012,01,21,25.9,17,1021.3,1015.5,5.7,7.2,16.9,21,33.1,23,0.11,G,999.9,1,1,1,0,0
94728,2012-01-22,2012,01,22,24.4,16.7,1030.2,1025.3,10,7.2,18.1,999.9,35.1,18,0.28,G,1.2,0,0,0,0,0
94728,2012-01-23,2012,01,23,38.5,35.6,1025.9,1019.5,5.3,5.8,15.0,20,51.1,33.1,0,G,3.1,1,1,0,0,0
94728,2012-01-24,2012,01,24,49.3,41.6,1015.2,1009.7,8.2,7.3,12.0,19,53.6,43,0.37,G,2,1,1,0,0,0
94728,2012-01-25,2012,01,25,41.4,26.6,1022.5,1017.6,10,6.8,15.9,17.1,46.9,37.9,0,G,999.9,0,0,0,0,0
94728,2012-01-26,2012,01,26,36.5,28.5,1021.9,1016.6,8.7,3.1,8.0,14,39.9,33.1,0.02,G,999.9,0,1,1,0,0
94728,2012-01-27,2012,01,27,47.5,45,1003.9,998.3,4.1,5.9,16.9,26,59,37,0.16,G,999.9,1,1,0,0,0
94728,2012-01-28,2012,01,28,42.4,27.2,1012.3,1007.6,10,8.0,16.9,24.1,48.9,37.9,0.47,G,999.9,0,0,0,0,0
94728,2012-01-29,2012,01,29,41,26.5,1017.1,1015.2,9.9,13.5,15.0,999.9,43,39,0,G,999.9,0,0,0,0,0
94728,2012-01-30,2012,01,30,39.7,24.5,1018.6,1016.8,9.9,13.3,19.0,999.9,41,37.9,0,G,999.9,0,0,0,0,0
94728,2012-01-31,2012,01,31,44.7,28.9,1020.9,1018,9.4,8.3,11.1,15,55.9,32,0,G,999.9,0,0,0,0,0
94728,2012-02-01,2012,02,01,55.1,35.7,1014.3,1009.4,9.9,7.1,14.0,21,62.1,42.1,0,G,999.9,0,1,0,0,0
94728,2012-02-02,2012,02,02,45.6,31.4,1016.6,1011.7,10,5.8,18.1,999.9,57,39,0.01,G,999.9,0,0,0,0,0
94728,2012-02-03,2012,02,03,36.7,18.3,1027.1,1022.1,10,7.2,16.9,19,44.1,30,0,G,999.9,0,0,1,0,0
94728,2012-02-04,2012,02,04,41.3,21.5,1024.8,1019.8,10,3.7,15.0,999.9,45,32,0,G,999.9,0,0,0,0,0
94728,2012-02-05,2012,02,05,36,19.2,1020.1,1015,10,5.3,11.1,15,42.1,30.9,0,G,999.9,0,0,0,0,0
94728,2012-02-06,2012,02,06,39.5,21.1,1019.1,1014.1,10,6.5,18.1,999.9,51.1,28,0,G,999.9,0,0,0,0,0
94728,2012-02-07,2012,02,07,43.7,25.4,1017,1012.1,10,6.1,14.0,17.1,48.9,39,0,G,999.9,0,0,0,0,0
94728,2012-02-08,2012,02,08,35.5,18.7,1023.4,1018.4,9.9,4.3,14.0,999.9,43,30.9,0,G,999.9,0,0,0,0,0
94728,2012-02-09,2012,02,09,35.7,23,1019.1,1014.2,8.3,5.3,12.0,15,45,30.2,0.01,G,999.9,0,0,1,0,0
94728,2012-02-10,2012,02,10,39.3,21.4,1018.9,1013.9,10,5.0,9.9,14,45,30.9,0,G,999.9,0,0,0,0,0
94728,2012-02-11,2012,02,11,36,28.7,1008,1003.2,5.8,4.2,15.9,17.1,43,33.1,0.06,G,999.9,0,1,1,0,0
94728,2012-02-12,2012,02,12,29.2,12.2,1007.7,1002.7,9.2,10.5,23.9,25.1,37,21,0.08,G,999.9,0,0,1,0,0
94728,2012-02-13,2012,02,13,33,13.8,1015,1010,10,7.9,22.9,999.9,43,21,0.01,G,999.9,0,0,0,0,0
