wban,wth_stn,name,date,num_collisions,year,mo,da,TEMP,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder
14732,LG,LG,2012-07-01,134,2012,07,01,86.7,63.1,1008.6,1007.5,10,8.3,15.9,22.9,97,77,0,G,999.9,0,0,0,0,0
94728,CP,CP,2012-07-01,348,2012,07,01,83.6,63,1008.9,1004.2,9.7,4.1,9.9,18.1,93,66,0,G,999.9,0,0,0,0,0
94789,FT,FT,2012-07-01,56,2012,07,01,81.8,65.8,1009,1008.3,9.9,9.2,18.1,26,93,70,0,G,999.9,0,0,0,0,0
14732,LG,LG,2012-07-02,164,2012,07,02,81.7,56.7,1011.2,1010.1,10,7.7,13.0,21,97,73,0,G,999.9,0,0,0,0,0
94728,CP,CP,2012-07-02,354,2012,07,02,80.3,54.1,1011.6,1007,10,3.8,15.0,999.9,88,66.9,0,G,999.9,0,0,0,0,0
94789,FT,FT,2012-07-02,46,2012,07,02,82.5,54.1,1011.5,1010.7,10,7.9,15.0,19,91,70,0,G,999.9,0,0,0,0,0
14732,LG,LG,2012-07-03,190,2012,07,03,81.4,58.1,1012.7,1011.7,10,7.8,14.0,19,91.9,73,0,G,999.9,0,0,0,0,0
94728,CP,CP,2012-07-03,418,2012,07,03,79.8,56.7,1012.8,1008.2,10,2.9,12.0,999.9,88,63,0,G,999.9,0,0,0,0,0
94789,FT,FT,2012-07-03,56,2012,07,03,80.2,56,1013.2,1012.4,10,9.3,17.1,999.9,89.1,70,0,G,999.9,0,0,0,0,0
14732,LG,LG,2012-07-04,133,2012,07,04,83.4,65.9,1009,1008,9.9,8.2,13.0,19,95,73,0.05,G,999.9,0,1,0,0,0
94728,CP,CP,2012-07-04,234,2012,07,04,81.8,65.6,1009.1,1004.4,9.2,3.6,11.1,999.9,91,68,0.06,G,999.9,0,1,0,0,0
94789,FT,FT,2012-07-04,65,2012,07,04,77.8,69.2,1009.5,1008.9,10,9.2,14.0,19,88,70,0.03,G,999.9,0,1,0,0,0
14732,LG,LG,2012-07-05,160,2012,07,05,87.8,65.8,1007,1005.9,10,9.3,14.0,20,95,73,0,A,999.9,0,0,0,0,0
94728,CP,CP,2012-07-05,360,2012,07,05,86.7,64.3,1007.4,1002.7,9.4,3.8,15.0,999.9,93.9,70,99.99,,999.9,0,1,0,0,0
94789,FT,FT,2012-07-05,71,2012,07,05,86.1,67.8,1007.3,1006.6,10,8.4,12.0,19,95,73,0.01,G,999.9,0,0,0,0,0
14732,LG,LG,2012-07-06,166,2012,07,06,82.2,64.3,1011.4,1010.4,10,5.8,12.0,999.9,95,73,0,G,999.9,0,0,0,0,0
